satellite,line1,line2,norad_id,inclination,eccentricity,mean_motion,right_ascension,perigee,mean_anomaly,orbital_period_minutes,orbit_type,latitude,longitude,altitude_km,x,y,z
STARLINK-34047,1 63821U 25092T   26097.46328274  .00019831  00000+0  72826-3 0  9997,2 63821  42.9953  10.1864 0000265 344.0992  15.9851 15.27578378 53064,63821,0.750409547882718,2.65e-05,0.0666531806959362,0.1777862189251504,6.005663993478472,0.2789926262605455,94.2668488071518,LEO,-29.655825969538153,-134.22404440506676,492.92839039454157,-4160.275746550076,-4274.514932231789,-3396.1950408153634
STARLINK-34094,1 63822U 25092U   26097.14710228  .00026657  00000+0  97397-3 0  9991,2 63822  43.0036   8.6208 0001624 263.6343  96.4324 15.27605131 53055,63822,0.7505544102106335,0.0001624,0.0666543480157732,0.1504613441559271,4.601286556190487,1.68306288560018,94.2651979086604,LEO,8.530474452142016,175.49326086081544,488.8034791271666,-6762.939010241881,533.0552357230858,1017.5518815578637
STARLINK-34043,1 63823U 25092V   26097.14952684  .00027483  00000+0  10039-2 0  9991,2 63823  43.0048   7.7730 0001550 283.4082  76.6596 15.27598969 53014,63823,0.7505753541616574,0.000155,0.0666540791478019,0.1356644427575192,4.946406217150594,1.337962423261845,94.26557815384344,LEO,17.34620345860073,164.3402218944604,488.01190945946837,-6304.051192902542,1767.214686623354,2044.9780396751385
STARLINK-34025,1 63824U 25092W   26097.09908121  .00034511  00000+0  12570-2 0  9995,2 63824  43.0011  11.7457 0001640 281.6382  78.4285 15.27600799 52906,63824,0.7505107769793337,0.000164,0.0666541589966152,0.2050011379514979,4.915513889390294,1.3688355524003728,94.26546522773856,LEO,40.35432246930592,73.3619158498391,484.48616745293293,1495.8366072050064,5005.529175306151,4439.013529134918
STARLINK-33874,1 63825U 25092X   26097.45813724  .00018841  00000+0  69193-3 0  9992,2 63825  43.0035  10.1406 0000847 282.4559  77.6198 15.27604542 53065,63825,0.7505526648813815,8.47e-05,0.0666543223158,0.1769868581277369,4.929785446683852,1.3547210747394949,94.2652342545863,LEO,-41.15530500882479,-102.27372217252682,492.8765473628964,-1098.626872830445,-5049.884057675562,-4517.133079262487
STARLINK-33781,1 63826U 25092Y   26097.14919996  .00024583  00000+0  89944-3 0  9993,2 63826  43.0047  12.1226 0001754 268.3721  91.6930 15.27596283 53010,63826,0.7505736088324054,0.0001754,0.0666539619489427,0.2115792839022646,4.683976765491474,1.6003447510311606,94.26574390270363,LEO,16.196624082146148,170.10990184378784,488.02224213837326,-6488.902384589353,1131.3392248830864,1913.218105616939
STARLINK-33891,1 63827U 25092Z   26097.09023351  .00042418  00000+0  15412-2 0  9994,2 63827  43.0045  12.5376 0001503 279.1973  80.8709 15.27600500 52897,63827,0.7505701181739014,0.0001503,0.066654145950279,0.218822400298041,4.872912147678364,1.4114634740510823,94.26548367848804,LEO,35.95813047630419,137.24078650576175,485.2008659033445,-4074.6832446887693,3767.813756234473,4025.919307114418
STARLINK-33903,1 63828U 25092AA  26097.45299288  .00031602  00000+0  11529-2 0  9997,2 63828  43.0032  10.0963 0002570 285.7120  74.3448 15.27581667 53061,63828,0.7505474288936255,0.000257,0.066653324205634,0.1762136772691034,4.986615112458039,1.2975615417366804,94.26664584342647,LEO,-41.61044140816799,-64.40600894903164,491.68274402673796,2216.5771869532414,-4627.598887276126,-4557.250109212963
STARLINK-33889,1 63829U 25092AB  26097.43886640  .00038119  00000+0  13871-2 0  9992,2 63829  43.0001  10.0000 0000571 322.6229  37.4583 15.27592055 52950,63829,0.7504933236868138,5.71e-05,0.0666537774676407,0.1745329251994329,5.630831847332414,0.6537706671997919,94.26600480715392,LEO,0.5830157994846794,8.408152178376499,489.44325312319233,6786.352688432707,1003.108032066356,69.80754636626678
STARLINK-33984,1 63830U 25092AC  26097.44657157  .00026930  00000+0  98417-3 0  9992,2 63830  43.0011  10.0450 0001104 289.1153  70.9579 15.27593960 53019,63830,0.7505107769793337,0.0001104,0.0666538605889463,0.1753183233628304,5.046013902891161,1.2384489853008842,94.26588725187167,LEO,-26.890050409279475,-25.096920278379198,491.90957617760705,5543.003840717786,-2596.169421624857,-3103.9556386646746
STARLINK-33940,1 63831U 25092AD  26097.06454318  .00047126  00000+0  17082-2 0  9993,2 63831  42.9975  12.3492 0000848 236.7199 123.3572 15.27636699 53002,63831,0.7504479451262619,8.48e-05,0.0666557254296189,0.2155341999872837,4.131541659991725,2.152989296041149,94.26324995613376,LEO,-42.472499405788106,-92.72698741345131,492.6231600514793,-240.86392322803886,-5056.885837473099,-4634.567194511938
STARLINK-33978,1 63832U 25092AE  26097.44143748  .00034012  00000+0  12398-2 0  9993,2 63832  42.9995  10.0192 0000842 308.9071  51.1706 15.27580864 53067,63832,0.7504828517113017,8.42e-05,0.0666532891681492,0.1748680284158158,5.391445977787376,0.8930954502210104,94.26669539636248,LEO,-9.036412582998821,-2.010430860342391,490.5047694519517,6772.173607755138,-237.72391839230804,-1077.6825442869745
HERMES-4,1 63833U 25052BP  26097.41962957  .00019779  00000+0  72541-3 0  9998,2 63833  97.3951 351.7216 0004924  97.2231 262.9569 15.27999419 59130,63833,1.6998651703091292,0.0004924,0.066671552075276,6.138699970382488,1.696863203995699,4.589463695837478,94.24087353007036,LEO,74.67305774454714,-159.58269790988504,478.43776014056766,-1696.7476084782672,-631.5980919254704,6605.825386235911
HERMES-5,1 63834U 25052BQ  26097.45191280  .00013750  00000+0  51878-3 0  9999,2 63834  97.4045 352.4027 0005890  53.0376 307.1401 15.27139682 59154,63834,1.7000292312588168,0.000589,0.0666340389718979,6.150587407917821,0.9256807473557443,5.360606009904636,94.2939285104636,LEO,-73.58476908854747,18.974530091703457,501.23498662133443,1836.5434710688914,631.4595699451594,-6592.115032502182
HERMES-3,1 63835U 25052BR  26097.24465291  .00026293  00000+0  86732-3 0  9996,2 63835  97.3943 352.8187 0006723  39.0131 321.1595 15.31388994 59192,63835,1.699851207675113,0.0006723,0.0668194501852592,6.157847977606117,0.6809070464097998,5.605290699058728,94.03228086671233,LEO,-7.634907444504557,-5.5987195213023755,479.4656854906525,6757.344911210786,-662.4109929673613,-910.1546766427089
STARLINK-34018,1 63836U 25093A   26097.21734852  .00029631  00000+0  10813-2 0  9996,2 63836  43.0026 276.9258 0001569 277.7283  82.3390 15.27601749 52339,63836,0.7505369569181136,0.0001569,0.0666542004481849,4.833266993719313,4.847273260966567,1.437086652799611,94.26540660500396,LEO,25.61506858747252,62.49576619442499,486.79142575956394,2855.766314340717,5484.886452264376,2964.7803633431145
STARLINK-34053,1 63837U 25093B   26097.54169334  .00017423  00000+0  64200-3 0  9996,2 63837  43.0048 275.0555 0002164 262.1899  97.8707 15.27536716 52320,63837,0.7505753541616574,0.0002164,0.0666513628482538,4.800624100719263,4.576077020474681,1.7081659562316145,94.26941983894032,LEO,16.90863082834211,74.38333410222062,488.10797339026067,1766.648282929691,6320.324771050858,1994.946320954112
STARLINK-34042,1 63838U 25093C   26097.50621603  .00028572  00000+0  10433-2 0  9990,2 63838  42.9986 271.3242 0000398 200.3049 159.7787 15.27594683 52424,63838,0.7504671437480338,3.98e-05,0.0666538921357726,4.735500630339599,3.4959800128779897,2.7886643895562635,94.26584263647902,LEO,-6.774136044569219,-97.83663990852118,490.9278678335568,-929.0861095764363,-6750.386566888326,-809.4036458507885
STARLINK-34040,1 63839U 25093D   26097.46347197  .00021272  00000+0  77988-3 0  9998,2 63839  43.0015 275.3292 0000905 255.5918 104.4833 15.27598460 52370,63839,0.7505177582963416,9.05e-05,0.0666540569384872,4.805401066881972,4.460918451098843,1.8235775983489912,94.2656095633928,LEO,-29.102082608190766,129.92832409986553,492.21437629049615,-3848.896328228305,4598.606807847621,-3338.0419494501166
STARLINK-33990,1 63840U 25093E   26097.53143782  .00018871  00000+0  69293-3 0  9993,2 63840  43.0021 274.9649 0001374 266.8059  93.2635 15.27608272 52167,63840,0.7505282302718536,0.0001374,0.0666544850677527,4.799042832416956,4.656641418746739,1.6277551469337317,94.26500408476454,LEO,-20.75029891973144,117.25849237185068,491.5836057450688,-2939.2197919468344,5704.770463565135,-2431.3853496522975
STARLINK-34056,1 63841U 25093F   26097.58335648  .00011890  00000+0  44071-3 0  9994,2 63841  43.0027 274.9456 0001614 268.0016 271.8581 15.27595232  5864,63841,0.7505387022473655,0.0001614,0.0666539160904166,4.798705983871321,4.677510320612835,4.744818943215996,94.26580875842902,LEO,41.14606618444222,23.896340117897132,484.6563790204018,4720.012204954184,2091.260809361923,4510.890976238905
STARLINK-34026,1 63842U 25093G   26097.48660040  .00027364  00000+0  99903-3 0  9998,2 63842  42.9968 275.5025 0001442 224.5632 135.5104 15.27618690 52151,63842,0.7504357278214979,0.0001442,0.0666549396387564,4.808425722475678,3.9193672188145294,2.365102650694524,94.26436121961828,LEO,42.441519754843,14.613257630716395,483.90223286994933,4895.043846375622,1276.2730011908993,4625.9439675267095
STARLINK-33777,1 63843U 25093H   26097.51472550  .00020075  00000+0  73680-3 0  9996,2 63843  42.9999 274.8479 0000641 236.4199 123.6592 15.27591580 52383,63843,0.7504898330283096,6.41e-05,0.0666537567418559,4.797000797192123,4.126305672235742,2.158260190382172,94.26603411888404,LEO,-34.77636301108497,-135.11595718826692,492.92481957942437,-3994.67297332555,-3978.5364930936757,-3915.009468461439
STARLINK-34041,1 63844U 25093J   26097.55713684  .00024025  00000+0  87888-3 0  9991,2 63844  43.0030 275.1748 0001999 288.3131  71.7503 15.27610830 52389,63844,0.7505439382351216,0.0001999,0.0666545966815584,4.802706278516893,5.032012871631664,1.2522789742936873,94.2648462370485,LEO,39.761099560246336,-23.151851643601233,484.78241352571604,4845.735982025105,-2072.0666890376074,4384.875702947166
STARLINK-34011,1 63845U 25093K   26097.49945464  .00034332  00000+0  12506-2 0  9994,2 63845  43.0003 275.6035 0001783 270.6927  89.3721 15.27599373 52152,63845,0.7504968143453178,0.0001783,0.0666540967756274,4.810188505020192,4.724478876113254,1.5598374044216243,94.26555322368546,LEO,18.208477689613257,-65.6009844226218,487.69286090041624,2691.3764812832806,-5933.377496909023,2143.1733190143955
STARLINK-34044,1 63846U 25093L   26097.51600499  .00029244  00000+0  10674-2 0  9994,2 63846  42.9978 274.8620 0000517 240.9718 119.1082 15.27600126 52167,63846,0.7504531811140178,5.17e-05,0.0666541296314505,4.797246888616654,4.205751314457272,2.07883025612391,94.2655067573621,LEO,-37.71460104870785,-143.008520535945,493.009874826098,-4336.993898776677,-3267.14823379023,-4198.911513967096
